,county_name,zip,lat,lng,city,state_name,avg_risk_score_all
9899,Stewart,31825,32.1081,-84.6693,Richland,Georgia,1.23
9900,Harris,31826,32.79526,-84.70292,Shiloh,Georgia,1.49
9901,Talbot,31827,32.69821,-84.49847,Talbotton,Georgia,1.61
9902,Muscogee,31829,32.56681,-84.72787,Upatoi,Georgia,1.57
9903,Meriwether,31830,32.8951,-84.72689,Warm Springs,Georgia,1.35
9904,Harris,31831,32.66486,-84.70701,Waverly Hall,Georgia,1.5
9905,Webster,31832,31.95501,-84.61709,Weston,Georgia,1.29
9906,Harris,31833,32.84963,-85.09202,West Point,Georgia,1.94
9907,Talbot,31836,32.79189,-84.54891,Woodland,Georgia,1.55
9908,Muscogee,31901,32.46461,-84.97986,Columbus,Georgia,1.69
9909,Muscogee,31903,32.41484,-84.95321,Columbus,Georgia,1.72
9910,Muscogee,31904,32.55189,-85.00009,Columbus,Georgia,1.62
9911,Chattahoochee,31905,32.37304,-84.84331,Fort Benning,Georgia,1.0
9912,Muscogee,31906,32.46815,-84.94963,Columbus,Georgia,1.71
9913,Muscogee,31907,32.48388,-84.89976,Columbus,Georgia,1.86
9914,Muscogee,31909,32.54517,-84.92385,Columbus,Georgia,1.64
9915,Clay,32003,30.09813,-81.71255,Fleming Island,Florida,2.45
9916,Lafayette,32008,29.90351,-82.90311,Branford,Florida,2.79
9917,Nassau,32009,30.42078,-81.97252,Bryceville,Florida,1.98
9918,Nassau,32011,30.56985,-81.83975,Callahan,Florida,1.99
9919,Columbia,32024,30.0793,-82.72597,Lake City,Florida,1.87
9920,Columbia,32025,30.11266,-82.57072,Lake City,Florida,1.54
9921,St. Johns,32033,29.78851,-81.44263,Elkton,Florida,1.74
9922,Nassau,32034,30.624,-81.49392,Fernandina Beach,Florida,3.94
9923,Columbia,32038,29.93617,-82.69924,Fort White,Florida,2.18
9924,Baker,32040,30.24696,-82.23531,Glen Saint Mary,Florida,1.62
9925,Clay,32043,29.92991,-81.74304,Green Cove Springs,Florida,1.7
9926,Bradford,32044,29.85344,-82.16425,Hampton,Florida,1.6
9927,Nassau,32046,30.70253,-81.91718,Hilliard,Florida,1.76
9928,Hamilton,32052,30.48683,-82.94499,Jasper,Florida,2.41
9929,Hamilton,32053,30.56417,-83.1519,Jennings,Florida,1.91
9930,Union,32054,30.0281,-82.39143,Lake Butler,Florida,1.54
9931,Columbia,32055,30.27031,-82.62507,Lake City,Florida,1.51
9932,Bradford,32058,30.07988,-82.10743,Lawtey,Florida,2.12
9933,Madison,32059,30.38672,-83.27066,Lee,Florida,2.82
9934,Suwannee,32060,30.27554,-83.04935,Live Oak,Florida,2.28
